"idx","Lat","Long"
172,"41.95","13.6333"
173,"41.95","13.6333"
174,"41.95","13.6333"
175,"41.95","13.6333"
176,"41.95","13.6333"
177,"41.95","13.6333"
178,"41.95","13.6333"
179,"41.95","13.6333"
180,"41.95","13.6333"
181,"41.95","13.6333"
182,"41.5","15.75"
183,"41.5","15.75"
184,"39.920541999999998","8.503087"
185,"41.702750000000002","9.123025"
186,"41.702750000000002","9.123025"
187,"41.702750000000002","9.123025"
188,"41.702750000000002","9.123025"
189,"41.702750000000002","9.123025"
190,"41.897799999999997","16.156"
191,"41.897799999999997","16.156"
192,"41.897799999999997","16.156"
193,"41.897799999999997","16.156"
194,"41.897799999999997","16.156"
195,"41.897799999999997","16.156"
196,"41.897799999999997","16.156"
197,"41.897799999999997","16.156"
198,"41.897799999999997","16.156"
